year,Численность населения,"Промышленность, в % к предыдущему году","Горнодобывающая промышленность и разработка карьеров, в % к предыдущему году","Обрабатывающая промышленность, в % к предыдущему году","Строительство, в % к предыдущему году",Статус
2000-12-31,14 883 626,,,,,факт
2001-12-31,14 858 335,,,,,факт
2002-12-31,14 858 948,,,,,факт
2003-12-31,14 909 018,,,,,факт
2004-12-31,15 012 985,,,,,факт
2005-12-31,15 147 029,,,,,факт
2006-12-31,15 308 084,,,,,факт
2007-12-31,15 484 192,,,,,факт
2008-12-31,15 982 370,,,,,факт
2009-12-31,16 092 822,,,,,факт
2010-12-31,16 321 872,109.2,107.1,113.6,102.4,факт
2011-12-31,16 557 201,103.7,101.0,107.5,102.8,факт
2012-12-31,16 792 089,101.5,100.4,103.0,103.1,факт
2013-12-31,17 035 550,103.0,103.5,102.9,103.5,факт
2014-12-31,17 289 111,100.8,100.1,101.6,104.6,факт
2015-12-31,17 542 357,98.6,97.5,100.2,104.4,факт
2016-12-31,17 797 871,99.6,97.8,101.8,107.4,факт
2017-12-31,18 037 647,107.7,109.5,106.1,102.8,факт
2018-12-31,18 276 499,104.4,104.6,104.5,104.6,факт
2019-12-31,18 513 868,104.1,103.1,105.8,113.2,факт
2020-12-31,18 754 454,99.5,96.0,104.0,111.6,факт
2021-12-31,19 002 586,103.6,101.9,104.7,108.3,факт
2022-12-31,19 252 000,101.3,100.3,102.9,103.8,прогноз МЭ
2023-12-31,19 504 500,104.6,106.4,103.2,103.8,прогноз МЭ 
2024-12-31,19 759 900,104.0,104.9,103.5,103.8,прогноз МЭ 
2025-12-31,20 019 000,103.6,104.5,103.2,103.8,прогноз МЭ 
2026-12-31,20 281 700,100.4,97.4,103.1,103.8,прогноз МЭ 
2027-12-31,20 548 000,103.0,101.2,104.7,103.8,прогноз МЭ
